Catalogue,Composition,Condition,Date,Mint_Mark,Other_Details,Province_Mint,Soverign_Issuer,Weight,wreck,image_url,type
,Silver,P Corroded,1593.0,,Chipped,Unidentified,Unknown,7.0,Batavia,http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/BAT00528-001.jpg,1/2 Taler
,Copper,P Corroded,,,"Found at excavation site ""C"" by C.Kramer at 3""  Copper",Unidentified,Estates General,2.0,Batavia,http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/BAT00919-001.jpg,Duit
,Brass,P Corroded,,,Coin found beneath pelvic bones of skeleton with sabre cut on head Beacon Island. Copper/Zinc result of  XRF on 28/3/2104,Unidentified,Estates General,4.0,Batavia,http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/BAT00920-001.jpg,Schelling
Dav. 8832,Silver,G Corroded,1598.0,,In transition period,Gelderland,Estates General,24.0,Batavia,http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/BAT01103-001.jpg,Rijksdaalder
Dav. 4831,Silver,P,1620.0,Rose,,Holland,Estates General,23.0,Batavia,http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/BAT01116-003.jpg,Rijksdaalder
,Silver,P,1620.0,-,Part offragments,Holland,Estates General,2.0,Batavia,http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/BAT01118-001.jpg,Rijksdaalder
Dav. 4842,Silver,P,1624.0,,,West Friesland,Estates General,23.0,Batavia,http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/BAT01181-001.jpg,Rijksdaalder
Dav. 4842,Silver,P,1620.0,,,West Friesland,Estates General,20.0,Batavia,http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/BAT01183-003.jpg,Rijksdaalder
Dav. 4844,Silver,P,1622.0,tower,,Zeeland/Middleburg,Estates General,20.0,Batavia,http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/BAT01200-003.jpg,Rijksdaalder
Dav. 4844,Silver,P,1623.0,,,Zeeland/Middleburg,Estates General,20.0,Batavia,http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/BAT01202-003.jpg,Rijksdaalder
Dav. 8522,Silver,P,1571.0,,,Gelderland,Felipe II,25.0,Batavia,http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/BAT01228-001.jpg,Daalder
Dav. 8640,Silver,G,1568.0,,,Brabant,Felipe II,25.0,Batavia,http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/BAT01230-003.jpg,Burgundian Daalder
,Silver,P,1590.0,,,Overijssel,Felipe II,25.0,Batavia,http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/BAT01231-003.jpg,Daalder
Dav. 8522,Silver,P,1568.0,,,Utrecht,Felipe II,21.0,Batavia,http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/BAT01232-003.jpg,Burgundian Daalder
Sim. Dav. 5289 but 1620,Silver,VF Corroded,1620.0,AE Hook,Piece missing,Frankfurt - City Republic,Ferdinand II,25.0,Batavia,http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/BAT01272-001.jpg,Taler
Dav. 5360,Silver,P Corroded,1620.0,,,Unidentified,Rudolph,22.0,Batavia,http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/BAT01286-001.jpg,Taler
Dav. 5449,Silver,VG Corroded,1622.0,,,Lubeck,Ferdinand II,24.0,Batavia,http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/BAT01293-001.jpg,Taler
Dav. 5444 block,Silver,P Corroded,1650.0,,,Lubeck,-,16.0,Batavia,http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/BAT01295-001.jpg,Taler
Dav. 5444 block,Silver,G Corroded,1650.0,,,Lubeck,-,14.0,Batavia,http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/BAT01296-001.jpg,Taler
Dav. 5449,Silver,P Corroded,1620.0,,,Lubeck,Ferdinand II,21.0,Batavia,http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/BAT01297-001.jpg,Taler
Dav. 9529,Silver,VG,1598.0,GM.,Bent,Mansfeld - Schraplau line,Heinrich II,23.0,Batavia,http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/BAT01298-001.jpg,Spruchtaler
Dav. 9516,Silver,F,1552.0,,Gebhart & Haus - G. - Peter,Mansfeld - Schraplau line,"Gebhard VII, Johann-Georg I, Peter Ernst I",22.0,Batavia,http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/BAT01299-001.jpg,Taler
Dav. 5940,Silver,F Corroded,1624.0,,,Wismar,Ferdinand II,25.0,Batavia,http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/BAT01300-001.jpg,Taler
Dav. 5636,Silver,P Corroded,1623.0,,3 in date could potentially be an 8.,Nuremberg,Ferdinand II,15.0,Batavia,http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/BAT01302-001.jpg,Taler
Dav. 5636,Silver,G Corroded,1624.0,6pt star,,Nuremberg,Ferdinand II,21.0,Batavia,http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/BAT01304-001.jpg,Taler
Dav. 5636,Silver,aVF,1625.0,Cross,Bent,Nuremberg,Ferdinand II,26.0,Batavia,http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/BAT01305-001.jpg,Taler
Dav. 5636,Silver,aVF Corr obv.,1625.0,,"Half coin16 half of date on half missing, mm broken off",Nuremberg,Ferdinand II,12.0,Batavia,http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/BAT01306-001.jpg,Taler
Dav. 5636,Silver,VG,1626.0,Cross,,Nuremberg,Ferdinand II,27.0,Batavia,http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/BAT01307-001.jpg,Taler
Dav. 5636,Silver,F/VG,1621.0,6 pt star,Half missing,Nuremberg,Ferdinand II,13.0,Batavia,http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/BAT01308-001.jpg,Taler
Dav. 9798,Silver,P + Heavy Corr.,1540.0,,,Sachsen,Johann Georg Duke of Saxony,6.0,Batavia,http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/BAT01309-001.jpg,1/2 Taler
Dav. 9798,Silver,VG/F,1568.0,HB,,Sachsen - Albertine line,August,24.0,Batavia,http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/BAT01310-001.jpg,1/2 Taler
Dav. 7520,Silver,G/P Corroded,1605.0,,heavy corrosion,Saxe - Middle Weimar,Johan III,23.0,Batavia,http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/BAT01312-001.jpg,Taler
Dav. 7601,Silver,aF/Heavy Corr.,1623.0,,mm corroded away,Sachsen,Johann Georg,21.0,Batavia,http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/BAT01313-001.jpg,Taler
Dav. 7573,Silver,G/P Corroded,1650.0,,Portrait on Glv? & Rev. with Ring of Shields. part of coin,Sachsen,Johann Georg I Duke of Saxony and August of Nuremburg,17.0,Batavia,http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/BAT01315-001.jpg,Taler
Dav. 3752,Silver,VG Corroded,0.0,,,Schauenburg,"Justus Hermann, Ferdinand II",22.0,Batavia,http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/BAT01319-001.jpg,Taler
,Silver,P Corroded,0.0,,,Unidentified,-,10.0,Batavia,http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/BAT01320-001.jpg,1/2 Taler
,Silver,F,0.0,Sim to 8665 and 8668  but 1/2 Taler,Two piecesARG_D (5PT STAR) BREDRODE AB FVN THORHoly Roman Emp: Ferdinand II,Thorn,Henry of Brederode,9.0,Batavia,http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/BAT01321-001.jpg,1/2 Taler
Dav. 8865,Silver,P Corroded,1597.0,,,West Friesland,Estates General,21.0,Batavia,http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/BAT01369-003.jpg,Rijksdaalder
Dav. 4821 block,Silver,P Corroded,1621.0,,,Unidentified,Estates General,19.0,Batavia,http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/BAT01370-003.jpg,Rijksdaalder
T/O. Dav. 4989,Silver,aVG,1613.0,,Netherlands Imperial City with coining rights from HREmperor of Austria Rudolph IIstruck after death of Rudolph (1612)T/O. Dav. 4989 but reverse: RvDOL. II. D.G. ELEC. RO. IMP. SEM. AVG.,Zwolle - Imperial City,Rudolph II,25.0,Batavia,http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/BAT01377-001.jpg,Rijksdaalder
Dav. 8640,Silver,VG,1567.0,PHS,,Brabant,Felipe II,27.0,Batavia,http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/BAT01379-001.jpg,Daalder
Dav. 8813,Silver,G,1597.0,,Eagle Daalder   1597 sword,Friesland,Estates General,26.0,Batavia,http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/BAT01380-001.jpg,Rijksdaalder
Dav. 4829,Silver,F,1619.0,Lion Rampart,FRI Sword Ag 94%,Friesland,Estates General,28.0,Batavia,http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/BAT01382-001.jpg,Rijksdaalder
Dav. 8822,Silver,VG/F,1593.0,,Not under PhS?Ag 94%,Gelderland,Estates General,27.0,Batavia,http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/BAT01383-001.jpg,Burgundian Daalder
Dav. 4828,Silver,VF,1624.0,Cross,Ag 94%,Gelderland,Estates General,28.0,Batavia,http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/BAT01384-001.jpg,Rijksdaalder
Dav. 4822,Silver,VF some surface cracking,1602.0,Rose,Head of William the Silent Ag 94%Some surface cracking,Holland,Estates General,28.0,Batavia,http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/BAT01387-001.jpg,Rijksdaalder
Dav. 4831,Silver,F,1622.0,Rose,Small head figureAg 94%,Holland,Estates General,28.0,Batavia,http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/BAT01388-001.jpg,Rijksdaalder
Dav. 4831,Silver,aF,1623.0,,Large head figure Ag 94%Some surface cracking,Holland,Estates General,26.0,Batavia,http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/BAT01389-001.jpg,Rijksdaalder
Dav. 4832,Silver,VF cleaned some minor damage,1620.0,Rose,Trans Sword TRANS Ag 94%,Overijssel,Estates General,26.0,Batavia,http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/BAT01391-001.jpg,Rijksdaalder
Dav. 4832,Silver,aF,1620.0,Star or Rose,Trans Sword TRANS Ag 94%,Overijssel,Estates General,27.0,Batavia,http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/BAT01392-001.jpg,Rijksdaalder
Dav. 4832,Silver,aF obv. flan cracks,1622.0,Rose,Trans Sword TRANS Ag 94%,Overijssel,Estates General,28.0,Batavia,http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/BAT01393-001.jpg,Rijksdaalder
Dav. 8861,Silver,VG,1592.0,Shield,Head of William the Silent Ag 94%,Utrecht,Estates General,26.0,Batavia,http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/BAT01394-001.jpg,Rijksdaalder
Dav. 4836,Silver,F some surface cracking,1622.0,Shield,Ag 94%some surface cracking,Utrecht,Estates General,28.0,Batavia,http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/BAT01396-001.jpg,Rijksdaalder
Dav. 4842,Silver,F,1621.0,Rose,Symbolic figure with sword Ag 94%,West Friesland,Estates General,26.0,Batavia,http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/BAT01399-001.jpg,Rijksdaalder
Dav. 5127,Silver,VF Damaged,1624.0,,Hanseatic League City Silver 94%,Braunschweig  - City,Ferdinand II,26.0,Batavia,http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/BAT01403-001.jpg,Taler
Dav. 6285,Silver,aVF,1611.0,Heart with crown above (Zellerfeld),Wild man Taler,Braunschweig  - Wolfenbuttel/Zellerfeld,Heinrich Julius,28.0,Batavia,http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/BAT01405-001.jpg,Taler
Dav. 5290,Silver,gF,1623.0,AE key rosette,Small DateBent,Frankfurt,Ferdinand II,26.0,Batavia,http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/BAT01406-001.jpg,Taler
Dav. 5290,Silver,"VF/F, some flattening on reverse, cleaned",1623.0,AE rosette key,large date,Frankfurt,Ferdinand II,27.0,Batavia,http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/BAT01407-001.jpg,Taler
Dav. 6686,Silver,gF,1623.0,5 pt star,,Hanau - Munzenberg,"Philip Moritz, Catherine Belgica (Regent)",28.0,Batavia,http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/BAT01409-002.jpg,Taler
Dav. 6688,Silver,aVG,1624.0,,heavy corrosion,Hanau - Munzenberg,"Philip Moritz, Catherine Belgica (Regent)",19.0,Batavia,http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/BAT01410-002.jpg,Taler
Dav. 5449,Silver,VF,1628.0,,St John the Baptist with Lamb,Lubeck,Ferdinand II,26.0,Batavia,http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/BAT01412-001.jpg,Taler
Dav. 5636,Silver,aVF,1623.0,Cross,,Nuremberg,Unknown,28.0,Batavia,http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/BAT01415-001.jpg,Taler
Dav. 3497,Silver,VF Corroded,1620.0,,Paris Von Lodran Arch Bishop of Salzburg 1619-1653,Salzburg,Paris Von Lodran,25.0,Batavia,http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/BAT01416-001.jpg,Taler
